# Iteration	Res_rho	Res_rhou	Res_rhov	Res_rhoE
2.040000e+02	2.048226e-02	4.628711e-02	8.385890e-03	2.555959e-02
2.050000e+02	2.117776e-02	4.606058e-02	8.195745e-03	2.613162e-02
2.060000e+02	2.164932e-02	4.547353e-02	7.946911e-03	2.644675e-02
2.070000e+02	2.190861e-02	4.456322e-02	7.646377e-03	2.652163e-02
2.080000e+02	2.197194e-02	4.337417e-02	7.301968e-03	2.637818e-02
2.090000e+02	2.185916e-02	4.195570e-02	6.922069e-03	2.604216e-02
2.100000e+02	2.159247e-02	4.035925e-02	6.515346e-03	2.554171e-02
2.110000e+02	2.119520e-02	3.863590e-02	6.090453e-03	2.490586e-02
2.120000e+02	2.069071e-02	3.683409e-02	5.655748e-03	2.416318e-02
2.130000e+02	2.010131e-02	3.499768e-02	5.219051e-03	2.334056e-02
2.140000e+02	1.944755e-02	3.316460e-02	4.787454e-03	2.246229e-02
2.150000e+02	1.874758e-02	3.136595e-02	4.486694e-03	2.154946e-02
2.160000e+02	1.801693e-02	2.962578e-02	4.427423e-03	2.061961e-02
2.170000e+02	1.726838e-02	2.796129e-02	4.370027e-03	1.968680e-02
2.180000e+02	1.651210e-02	2.638342e-02	4.329574e-03	1.876175e-02
2.190000e+02	1.575590e-02	2.489772e-02	4.291746e-03	1.785221e-02
2.200000e+02	1.500555e-02	2.350530e-02	4.228648e-03	1.696339e-02
2.210000e+02	1.426506e-02	2.220380e-02	4.164600e-03	1.609843e-02
2.220000e+02	1.353709e-02	2.098838e-02	4.140606e-03	1.525884e-02
2.230000e+02	1.282325e-02	1.985254e-02	4.097887e-03	1.444499e-02
2.240000e+02	1.212450e-02	1.878901e-02	4.048669e-03	1.365650e-02
2.250000e+02	1.144138e-02	1.779033e-02	3.979072e-03	1.289263e-02
2.260000e+02	1.077432e-02	1.684949e-02	3.952666e-03	1.215259e-02
2.270000e+02	1.012371e-02	1.596018e-02	3.921276e-03	1.143570e-02
2.280000e+02	9.490072e-03	1.511693e-02	3.873327e-03	1.074153e-02
2.290000e+02	8.874061e-03	1.431525e-02	3.809738e-03	1.006991e-02
2.300000e+02	8.276457e-03	1.355150e-02	3.777171e-03	9.420911e-03
2.310000e+02	7.698109e-03	1.282283e-02	3.748785e-03	8.794820e-03
2.320000e+02	7.139856e-03	1.212699e-02	3.708213e-03	8.191988e-03
2.330000e+02	6.602459e-03	1.146212e-02	3.653089e-03	7.612770e-03
2.340000e+02	6.086543e-03	1.082667e-02	3.608550e-03	7.057440e-03
2.350000e+02	5.592524e-03	1.021923e-02	3.584823e-03	6.526114e-03
2.360000e+02	5.120522e-03	9.638314e-03	3.551177e-03	6.018633e-03
2.370000e+02	4.670304e-03	9.082192e-03	3.498185e-03	5.534488e-03
2.380000e+02	4.241269e-03	8.548847e-03	3.445154e-03	5.072796e-03
2.390000e+02	3.832463e-03	8.035965e-03	3.429537e-03	4.632321e-03
2.400000e+02	3.442648e-03	7.540999e-03	3.398566e-03	4.211535e-03
2.410000e+02	3.070402e-03	7.061310e-03	3.357278e-03	3.808742e-03
2.420000e+02	2.714244e-03	6.594337e-03	3.298713e-03	3.422205e-03
2.430000e+02	2.372744e-03	6.137762e-03	3.277675e-03	3.050279e-03
2.440000e+02	2.044630e-03	5.689661e-03	3.256596e-03	2.691520e-03
2.450000e+02	1.819514e-03	5.248594e-03	3.218463e-03	2.344763e-03
2.460000e+02	1.812263e-03	4.813674e-03	3.164113e-03	2.009172e-03
2.470000e+02	1.807522e-03	4.384571e-03	3.135922e-03	1.684253e-03
2.480000e+02	1.795520e-03	3.961465e-03	3.116135e-03	1.467366e-03
2.490000e+02	1.787877e-03	3.544937e-03	3.086892e-03	1.459736e-03
2.500000e+02	1.771502e-03	3.135800e-03	3.042610e-03	1.447687e-03
2.510000e+02	1.759283e-03	2.734895e-03	2.996105e-03	1.436329e-03
2.520000e+02	1.737798e-03	2.510026e-03	2.984668e-03	1.419736e-03
2.530000e+02	1.719795e-03	2.499467e-03	2.960280e-03	1.403726e-03
2.540000e+02	1.711230e-03	2.485733e-03	2.920821e-03	1.392131e-03
2.550000e+02	1.700760e-03	2.469738e-03	2.867092e-03	1.385460e-03
2.560000e+02	1.699884e-03	2.447858e-03	2.855730e-03	1.383439e-03
2.570000e+02	1.688277e-03	2.419147e-03	2.837070e-03	1.373158e-03
2.580000e+02	1.681961e-03	2.377525e-03	2.805926e-03	1.369093e-03
2.590000e+02	1.668231e-03	2.338095e-03	2.761194e-03	1.356725e-03
2.600000e+02	1.656298e-03	2.335172e-03	2.732139e-03	1.348151e-03
2.610000e+02	1.639063e-03	2.329298e-03	2.719766e-03	1.332958e-03
2.620000e+02	1.621244e-03	2.318451e-03	2.693888e-03	1.319273e-03
2.630000e+02	1.610672e-03	2.307204e-03	2.655091e-03	1.306555e-03
2.640000e+02	1.604060e-03	2.291980e-03	2.611953e-03	1.300102e-03
2.650000e+02	1.599769e-03	2.271896e-03	2.604899e-03	1.298249e-03
2.660000e+02	1.592836e-03	2.246120e-03	2.585468e-03	1.291485e-03
2.670000e+02	1.583360e-03	2.210294e-03	2.553785e-03	1.285185e-03
2.680000e+02	1.574574e-03	2.172366e-03	2.510315e-03	1.276896e-03
2.690000e+02	1.560437e-03	2.171498e-03	2.494671e-03	1.266535e-03
2.700000e+02	1.548445e-03	2.164515e-03	2.480542e-03	1.255666e-03
2.710000e+02	1.529631e-03	2.155034e-03	2.454928e-03	1.241203e-03
2.720000e+02	1.516262e-03	2.145211e-03	2.418034e-03	1.226828e-03
2.730000e+02	1.514156e-03	2.130695e-03	2.387370e-03	1.223911e-03
2.740000e+02	1.505625e-03	2.112463e-03	2.378768e-03	1.218601e-03
2.750000e+02	1.503422e-03	2.089615e-03	2.358792e-03	1.215716e-03
2.760000e+02	1.492572e-03	2.059114e-03	2.327849e-03	1.206734e-03
2.770000e+02	1.486806e-03	2.024054e-03	2.285424e-03	1.202513e-03
2.780000e+02	1.474592e-03	2.021834e-03	2.279075e-03	1.191644e-03
2.790000e+02	1.463494e-03	2.013768e-03	2.264610e-03	1.183630e-03
2.800000e+02	1.448683e-03	2.007712e-03	2.240308e-03	1.170692e-03
2.810000e+02	1.432462e-03	1.997570e-03	2.206093e-03	1.158253e-03
2.820000e+02	1.429329e-03	1.983932e-03	2.183559e-03	1.152435e-03
2.830000e+02	1.423440e-03	1.967765e-03	2.173790e-03	1.146769e-03
2.840000e+02	1.418784e-03	1.948438e-03	2.154205e-03	1.144418e-03
2.850000e+02	1.413010e-03	1.923731e-03	2.124993e-03	1.138800e-03
2.860000e+02	1.403551e-03	1.888820e-03	2.091886e-03	1.132381e-03
2.870000e+02	1.396571e-03	1.884228e-03	2.084224e-03	1.125768e-03
