# Iteration	Res_rho	Res_rhou	Res_rhov	Res_rhoE
1.500000e+02	4.809331e-03	8.356583e-03	1.075769e-02	4.118268e-03
1.510000e+02	4.802510e-03	8.361844e-03	1.053751e-02	4.114172e-03
1.520000e+02	4.767547e-03	8.339610e-03	1.044545e-02	4.088869e-03
1.530000e+02	4.740593e-03	8.276153e-03	1.028925e-02	4.060777e-03
1.540000e+02	4.696271e-03	8.154083e-03	1.013306e-02	4.026333e-03
1.550000e+02	4.636642e-03	7.952304e-03	9.999779e-03	3.971172e-03
1.560000e+02	4.573160e-03	7.665951e-03	9.822285e-03	3.919157e-03
1.570000e+02	4.480407e-03	7.560120e-03	9.729951e-03	3.841233e-03
1.580000e+02	4.434388e-03	7.577050e-03	9.569769e-03	3.774174e-03
1.590000e+02	4.421460e-03	7.582147e-03	9.435569e-03	3.767945e-03
1.600000e+02	4.393609e-03	7.559992e-03	9.328020e-03	3.740099e-03
1.610000e+02	4.373778e-03	7.502836e-03	9.164161e-03	3.727092e-03
1.620000e+02	4.328439e-03	7.397354e-03	9.068080e-03	3.691820e-03
1.630000e+02	4.290125e-03	7.230018e-03	8.928596e-03	3.655214e-03
1.640000e+02	4.229946e-03	6.982220e-03	8.808703e-03	3.606191e-03
1.650000e+02	4.159927e-03	6.873755e-03	8.706084e-03	3.543312e-03
1.660000e+02	4.098106e-03	6.894007e-03	8.563833e-03	3.473733e-03
1.670000e+02	4.076770e-03	6.894517e-03	8.457011e-03	3.457582e-03
1.680000e+02	4.067761e-03	6.873933e-03	8.350335e-03	3.445965e-03
1.690000e+02	4.041912e-03	6.825521e-03	8.239569e-03	3.427819e-03
1.700000e+02	4.012966e-03	6.737764e-03	8.126077e-03	3.399756e-03
1.710000e+02	3.977414e-03	6.607677e-03	8.000308e-03	3.372510e-03
1.720000e+02	3.925121e-03	6.395384e-03	7.920422e-03	3.325331e-03
1.730000e+02	3.873085e-03	6.274058e-03	7.810242e-03	3.282977e-03
1.740000e+02	3.796526e-03	6.286446e-03	7.707433e-03	3.219325e-03
1.750000e+02	3.779439e-03	6.283392e-03	7.605279e-03	3.183542e-03
1.760000e+02	3.769704e-03	6.265244e-03	7.499820e-03	3.179285e-03
1.770000e+02	3.745567e-03	6.226123e-03	7.420090e-03	3.155816e-03
